Cargo,Localidade,Efetividade
Academic Performance Coach - High School,São Paulo - SP,Efetivo
AGENTE ESCOLAR - GRUPO SEB,Salvador - BA,Efetivo
Analista Administrativo,Curitiba - PR,Efetivo
Analista de Comunicação Pl,Ribeirão Preto - SP,Efetivo
Analista de Departamento Pessoal Jr,Ribeirão Preto - SP,Efetivo
Analista de Manutenção,São Paulo - SP,Efetivo
Analista de Operações (Comercial),Ribeirão Preto - SP,Efetivo
Analista de Registro Acadêmico Jr,Curitiba - PR,Efetivo
Analista Fiscal Jr,Ribeirão Preto - SP,Efetivo
ANALISTA RELACIONAMENTO PL,Curitiba - PR,Efetivo
Arts Head Teacher (Inclusive of All Educational Stages - 2025),Ribeirão Preto - SP,Docente
Assistente administrativo,Ribeirão Preto - SP,Temporário
Assistente Administrativo,Curitiba - PR,Efetivo
Assistente Administrativo,Curitiba - PR,Efetivo
Assistente Administrativo,São Paulo - SP,Efetivo
Assistente Administrativo Júnior,São Paulo - SP,Efetivo
Assistente de Captação,Belo Horizonte - MG,Efetivo
Assistente de Captação,Lauro de Freitas - BA,Efetivo
Assistente de Captação,Curitiba - PR,Efetivo
Assistente de Coordenação,Belo Horizonte - MG,Efetivo
Assistente de Educação Infantil (Early Years - 2025),Ribeirão Preto - SP,Efetivo
Assistente de Ensino,Florianópolis - SC,Efetivo
Assistente de Ensino,Maceió - AL,Efetivo
Assistente de Ensino,São Paulo - SP,Banco de talentos
Assistente de Ensino,São Paulo - SP,Efetivo
Assistente de Ensino (Lower School - 2025),Ribeirão Preto - SP,Efetivo
Assistente de Ensino (Middle School - 2025),Ribeirão Preto - SP,Efetivo
Auxiliar Administrativo,Ribeirão Preto - SP,Efetivo
AUXILIAR ADMINISTRATIVO,João Pessoa - PB,Temporário
Auxiliar de Atendimento,Curitiba - PR,Efetivo
Auxiliar de Manutenção,Ribeirão Preto - SP,Efetivo
Auxiliar de Manutenção,Goiânia - GO,Banco de talentos
Auxiliar de Manutenção,São Paulo - SP,Efetivo
Auxiliar de Serviços Gerais,Belo Horizonte - MG,Efetivo
Auxiliar de Serviços Gerais,Goiânia - GO,Banco de talentos
Auxiliar de Serviços Gerais,Belo Horizonte - MG,Efetivo
Auxiliar de Serviços Gerais,Curitiba - PR,Efetivo
Auxiliar de Serviços Gerais,Florianópolis - SC,Efetivo
Auxiliar de Serviços Gerais - Limpeza,Ribeirão Preto - SP,Efetivo
Auxiliar de Serviços Gerais - PCD,São Paulo - SP,Efetivo
AUXILIAR SERVIÇOS GERAIS - GRUPO SEB,Salvador - BA,Efetivo
Banco de Talentos Maceió - Professor(a) Bilíngue (2025),Maceió - AL,Banco de talentos
Banco de Talentos Professores (2025),Maceió - AL,Banco de talentos
Body Movement Head Teacher (Inclusive of All Educational Stages - 2025),Ribeirão Preto - SP,Docente
Consultor Comercial Externo - Curitiba,Curitiba - PR,Efetivo
Content Creator & Social Media Specialist,São Paulo - SP,Efetivo
Controlador de Acesso,Ribeirão Preto - SP,Efetivo
Controlador de Acessos,Goiânia - GO,Banco de talentos
Coordenador de Curso (Odontologia) - Joinville/SC,Joinville - SC,Efetivo
Coordenador de Operações,Salvador - BA,Efetivo
Coordenador de Polo EAD,Curitiba - PR,Efetivo
Coordenador Pedagógico,Jacareí - SP,Efetivo
Dean of Discipline,São Paulo - SP,Efetivo
English Head Teacher (Middle/High School - 2025),Ribeirão Preto - SP,Docente
Estagiário,Ribeirão Preto - SP,Aprendiz
Estagiário(a) financeiro - contas a pagar,Brasília - DF,Estágio
Estagiário de Pedagogia,Ribeirão Preto - SP,Estágio
Estágio - Área Educacional,São Paulo - SP,Banco de talentos
Estágio Bilíngue - Fundamental II - Área Educacional,São Paulo - SP,Banco de talentos
Estágio em Gestão de Projetos,Ribeirão Preto - SP,Efetivo
Estágio em Pedagogia Bilíngue (CÓPIA),Brasília - DF,Estágio
Estágio em Relacionamento Educacional e Atendimento às Famílias,Ribeirão Preto - SP,Efetivo
Estágio pedagogia bilíngue,Brasília - DF,Estágio
Estamos contratando PcD,Maceió - AL,Efetivo
Family Services Coordinator,Ribeirão Preto - SP,Efetivo
Humanities Head Teacher (Middle/High School - 2025),Ribeirão Preto - SP,Docente
Mathematics Head Teacher (Middle/High School - 2025),Ribeirão Preto - SP,Docente
Monitor,São Paulo - SP,Efetivo
Monitor,Belo Horizonte - MG,Efetivo
Monitor de Educação Infantil (Early Years - 2025),Ribeirão Preto - SP,Efetivo
Monitor Pedagógico,São Paulo - SP,Banco de talentos
Monitor Pedagógico - Música,São Paulo - SP,Efetivo
Music Head Teacher (Inclusive of All Educational Stages - 2025),Ribeirão Preto - SP,Docente
Natural Sciences Head Teacher (Middle/High School - 2025),Ribeirão Preto - SP,Docente
Portuguese Head Teacher (Middle/High School - 2025),Ribeirão Preto - SP,Docente
Professora bilíngue,Rio de Janeiro - RJ,Docente
Professor(a) Ed. Infantil e Fundamental I  - Banco de talentos,Brasília - DF,Banco de talentos
Professor Bilíngue de Ciências Naturais - Fundamental II e Ensino Médio,São Paulo - SP,Banco de talentos
Professor Bilíngue de Ciências Sociais - Fundamental II e Ensino Médio,São Paulo - SP,Banco de talentos
Professor Bilíngue de Mandarim - Fundamental II e Ensino Médio,São Paulo - SP,Banco de talentos
Professor bilíngue de Matemática - Fundamental II e Ensino Médio,São Paulo - SP,Efetivo
Professor Bilíngue de Português - Fundamental II e Ensino Médio,São Paulo - SP,Banco de talentos
Professor Bilíngue de Português - Fundamental II e Ensino Médio,Ribeirão Preto - SP,Docente
Professor Bilíngue Ed. Infantil e Fundamental I ( cadastro de reserva ),Primavera do Leste - MT,Efetivo
Professor Bilíngue Ed. Infantil e Fundamental I ( cadastro de reserva ),Sinop - MT,Efetivo
Professor Bilíngue Fundamental I,Brasília - DF,Efetivo
Professor Ensino Fundamental I,Goiânia - GO,Banco de talentos
Professor Ensino Fundamental II e Ensino Médio,Goiânia - GO,Banco de talentos
Professor Regente Bilíngue Educação Infantil - Maple Bear Floripa Ilha,Florianópolis - SC,Efetivo
Psicóloga EFAI,Recife - PE,Docente
Recepcionista,Belo Horizonte,Efetivo
Recepcionista,Goiânia - GO,Banco de talentos
Recepcionista Bilíngue,São Paulo - SP,Efetivo
Supervisor Captação,Curitiba - PR,Efetivo
Teacher (Early Years - 2025),Ribeirão Preto - SP,Docente
Teacher (Lower School - 2025),Ribeirão Preto - SP,Docente
Técnico de Laboratório Júnior,Joinville - SC,Efetivo
Técnico de Manutenção,Salvador - BA,Efetivo
Técnico de Manutenção,São Paulo - SP,Efetivo
Vaga Presencial em São Paulo - Consultor Comercial,São Paulo - SP,Efetivo
